%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Not Used, Digital Channel 0 (D11), Digital Channel 1 (D12), Digital Channel 2 (D13), Digital Channel 3 (D17), Not Used, Digital Channel 4 (D18), Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Marker Channel, Timestamp (Formatted)
16.0, 33845.436137370605, 10790.70696719968, 5438.447646909672, 21842.102329981608, 9572.335728685348, -11582.986901162494, 31759.05725467888, 30710.26870134696, -59040.00956297035, -30304.271615060763, -136986.42098741783, -55213.21209826614, -534.2290442262941, 2285.1752978772283, -71928.69596823407, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654804179E9, 0.0, 2026-01-23 18:20:54.804
18.0, 33819.55281729136, 10758.632213906314, 5412.743140786069, 21852.652353364512, 9588.60779864881, -11559.495217739966, 31768.08735943882, 30704.7478204665, -59157.53503531636, -30365.895374524043, -137036.13126708643, -55247.5890812384, -546.3436897210705, 2193.3543316548266, -72033.32448402936, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654809266E9, 0.0, 2026-01-23 18:20:54.809
20.0, 33902.9024723652, 10834.33757237644, 5479.932484618722, 21869.8631965951, 9594.642769651744, -11563.04914510836, 31743.880420193724, 30679.445645743093, -58942.801826334224, -30240.70325382987, -136934.0732019035, -55176.28701642597, -520.7062388308333, 2361.3723947253698, -71856.47748189897, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654815215E9, 0.0, 2026-01-23 18:20:54.815
22.0, 33805.40416305115, 10753.536016170505, 5404.696512782159, 21832.960466499386, 9569.005318761507, -11581.042299394883, 31772.62476356325, 30723.791506742422, -59173.89651225764, -30381.9215752985, -137050.48108702674, -55257.98264241012, -550.814038612132, 2189.353369397327, -72036.40902476419, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654821213E9, 0.0, 2026-01-23 18:20:54.821
24.0, 33877.309724963874, 10804.542697017516, 5454.764420362047, 21872.858330352108, 9603.09172905585, -11548.676973423599, 31754.0951674098, 30680.205605054573, -59017.41194932604, -30281.338725249618, -136967.31024590853, -55199.443423681674, -528.9987360237523, 2295.1888793932058, -71934.3286078368, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654826214E9, 0.0, 2026-01-23 18:20:54.826
26.0, 33846.687835060104, 10791.913961400267, 5438.849978309868, 21841.632943348046, 9571.84399030733, -11583.38923256269, 31761.225373891044, 30711.453343803092, -59041.864757760144, -30306.19386508392, -136989.25965896365, -55214.821423866924, -535.0560587711404, 2288.3939490787925, -71937.61431427173, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654832278E9, 0.0, 2026-01-23 18:20:54.832
28.0, 33819.99985218047, 10759.36982147334, 5412.743140786069, 21851.870042308576, 9587.870191081785, -11560.299880540357, 31770.210775162075, 30705.820704200352, -59158.98789870595, -30367.571755358193, -137038.85817990996, -55249.33251730591, -547.4165734549252, 2195.43304388917, -72039.33710328783, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654855523E9, 0.0, 2026-01-23 18:20:54.855
30.0, 33904.26592877697, 10835.879842743856, 5480.357167763373, 21869.214996005892, 9594.285141740458, -11563.317366041823, 31745.825021961336, 30679.91503237665, -58944.679372868464, -30242.714910830848, -136936.97892868269, -55177.78458330448, -521.555605120135, 2358.0643365459846, -71865.73110410347, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654863399E9, 0.0, 2026-01-23 18:20:54.863
32.0, 33807.88520668569, 10755.502969682571, 5405.8811552382895, 21832.6028385881, 9568.22300770557, -11581.355223817256, 31774.3011443974, 30723.970320698063, -59175.66230006961, -30383.329735199182, -137053.09624112802, -55258.92141567724, -551.0152043122297, 2202.0938637368517, -72028.58591420483, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654866212E9, 0.0, 2026-01-23 18:20:54.866
34.0, 33880.48367267653, 10806.979037163144, 5456.083173284909, 21872.634812907556, 9602.4658802111, -11549.258118779437, 31755.61508603276, 30680.049142843385, -59018.10485340415, -30281.629297927535, -136968.96427499823, -55199.868106826325, -529.1328464904841, 2303.4143213527586, -71926.32668332181, -187500.02235174447, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.769163654872325E9, 0.0, 2026-01-23 18:20:54.872
